channel_id	title	tags	country	default_language	videoCount	viewCount	subscriberCount	thumbnail
UC2eT85Wb209TNxMYipniiMw	Yarmak Music	['Music', 'Hip hop music']	UA	NA	95	232645048	949000	https://yt3.ggpht.com/a/AATXAJx0jolzZGMj_1ZHeTwK8oCxGPfAoSkl0Gd4JODghg=s800-c-k-c0x00ffffff-no-rj-mo
UCTFuNYrqAcsmSjgqYMvxOqw	Home Free	['Country music', 'Music']	NA	NA	211	390674681	1110000	https://yt3.ggpht.com/a/AATXAJwWDCJrJkbxY8HPr3ahdG4R9Ndd2uB6kpbQxO6AKQ=s800-c-k-c0x00ffffff-no-rj-mo
UCStBfpQeA4imrUzPJoTXoFA	CMT	['Music', 'Country music', 'Entertainment']	US	NA	1870	75744250	252000	https://yt3.ggpht.com/a/AATXAJxlcQ3fm37GDu_Ca5gZMf3C3yrEtkwFi-1r2E0F2l0=s800-c-k-c0x00ffffff-no-rj
UCNHPGYg-YbI4gCiOSJXD41A	Sleepy Man	['Music', 'Country music']	US	NA	53	61171403	151000	https://yt3.ggpht.com/a/AATXAJzVO2YfLVtyZYBscbpS3tYMCLlE1sDR8Z2PFlKgzw=s800-c-k-c0x00ffffff-no-rj
UCBWjJaTpplJdqMSTRT5ZRug	Country Now	['Music', 'Country music', 'Entertainment']	US	NA	378	17395718	66300	https://yt3.ggpht.com/a/AATXAJxI-UwK3ja6fIZpAzneJ1PMgFkQFFRj8iG0UPLIig=s800-c-k-c0x00ffffff-no-rj
UC0N2JCPta-vcvfffDZRTykw	Grand Ole Opry	['Music', 'Country music']	NA	NA	164	25789501	731000	https://yt3.ggpht.com/a/AATXAJwNr95ZS9mCOn1GeSSU0IuHzQRShsH-CX7vwpHdww=s800-c-k-c0x00ffffff-no-rj
UCKTgj8r-wp80wJgDxhc6jpA	carrieunderwoodVEVO	['Country music', 'Music']	NA	en	113	1141859340	1290000	https://yt3.ggpht.com/a/AATXAJwd9rvKXu27LjWyBSAstoLcSF4vlf6N0rKDByXE4g=s800-c-k-c0x00ffffff-no-rj-mo
UCL-0gAth4u6Wp-9_98XU3nA	Tommy Emmanuel	['Music', 'Pop music', 'Country music']	US	NA	298	127691104	644000	https://yt3.ggpht.com/a/AATXAJwWH0z6f-ka-SiJJ8iMPGv9P17BAc88tz3gd7piOA=s800-c-k-c0x00ffffff-no-rj-mo
UC1_7Qeu1LdDy5PTZ0vQE_sA	PaulaFernandesVEVO	['Music of Latin America', 'Music', 'Pop music', 'Country music']	NA	en	129	1304008527	1420000	https://yt3.ggpht.com/a/AATXAJxUOs98fC5TaC-BZxP4KxAakj4UySEzmqJmiRf4=s800-c-k-c0x00ffffff-no-rj-mo
UCBxZZfQ8R2xtk0YEU1d8l4Q	Carrie Underwood	['Country music', 'Music']	US	NA	98	51669594	2100000	https://yt3.ggpht.com/a/AATXAJwd9rvKXu27LjWyBSAstoLcSF4vlf6N0rKDByXE4g=s800-c-k-c0x00ffffff-no-rj-mo
UCOnoQYeFSfH0nsYv0M4gYdg	FlaGeorgiaLineVEVO	['Music', 'Country music']	NA	en	116	1560190602	1510000	https://yt3.ggpht.com/a/AATXAJxH9k6cGykZDd2MQASdE_2-zOsswoyTnfmdLROGpA=s800-c-k-c0x00ffffff-no-rj-mo
UCH5oChsU9MVM7gIqBolNKGQ	Zac Brown Band	['Music', 'Country music']	US	NA	358	542089341	NA	https://yt3.ggpht.com/a/AATXAJwgoI-wIETXdUDHSq1sHZHYuX4_8R_PrMYaQyfAHg=s800-c-k-c0x00ffffff-no-rj-mo
UCWqvhmZyB66eKv01SiH_Kjg	The Dead South	['Music', 'Country music']	CA	NA	101	327171007	846000	https://yt3.ggpht.com/a/AATXAJxHDGsJB8OdQhbZoUPpTUFH86oTwamz4z8XvrGnog=s800-c-k-c0x00ffffff-no-rj-mo
UCy5QKpDQC-H3z82Bw6EVFfg	JasonAldeanVEVO	['Music', 'Country music']	NA	en	138	1235705760	1010000	https://yt3.ggpht.com/a/AATXAJw9ufMyGU9o74wXhfeg9SMfzJL8ajoIjrRBIwY03A=s800-c-k-c0x00ffffff-no-rj-mo
UCw1jzpWLPERKng35P3vN78A	Hunter Hayes	['Music', 'Country music']	US	en	356	226064336	768000	https://yt3.ggpht.com/a/AATXAJzdkvkw4Sd_DPc06G4Dy_mfWPm6_GfllBceTeUzzg=s800-c-k-c0x00ffffff-no-rj-mo
UCJQplYDHQjYbmADXC-_y27Q	mirandalambertVEVO	['Country music', 'Music']	NA	en	102	751454481	757000	https://yt3.ggpht.com/a/AATXAJwAUQFiwlnbZsng9E_qY0-d9INL8cWI36iFqH2Lvg=s800-c-k-c0x00ffffff-no-rj-mo
UCsEKCm_-rtFSFarMiskZI3w	laurabellbundyVEVO	['Music', 'Country music']	NA	NA	9	48242561	65300	https://yt3.ggpht.com/a/AATXAJyyD5oIydJP_igJLnrFFDf3fjQuzfWLSnsiUbnj-A=s800-c-k-c0x00ffffff-no-rj-mo
UClcR5Ho9kfnj40zaN1enC-Q	LadyAVEVO	['Music', 'Country music']	US	en	125	833116388	858000	https://yt3.ggpht.com/a/AATXAJwvy2S342DRA1qCMMAQLYDqzr-RQdq5Es3L9u_MfA=s800-c-k-c0x00ffffff-no-rj-mo
UC2RaZgpzFbucwZ1ud6i7q-w	KennyChesneyVEVO	['Country music', 'Music']	NA	en	149	715312010	590000	https://yt3.ggpht.com/a/AATXAJzzYOrf41XsFswlqYkw3FYcyhT7Df77PQ03YOvZrg=s800-c-k-c0x00ffffff-no-rj-mo
UCxwcuOcJCJVDm_BRKYJ2Vdg	BRADPAISLEYVEVO	['Country music', 'Music']	NA	en	92	732061474	648000	https://yt3.ggpht.com/a/AATXAJyzM5olZYyOsU3VMYTTgrW1TNtBP3wqFrEfNjO3lg=s800-c-k-c0x00ffffff-no-rj-mo
UC-rslgbv6TTM94dLc4Z0U5w	Nitty Gritty Dirt Band - Topic	['Music', 'Country music']	NA	NA	920	16699985	2080	https://yt3.ggpht.com/a/AATXAJzmRmF4jOP6nyVTvuwEurNQKQmkntw7mQ8bFRCjWg=s800-c-k-c0x00ffffff-no-rj
UCORIeT1hk6tYBuntEXsguLg	PostmodernJukebox	['Music', 'Jazz', 'Pop music']	US	NA	386	1533123013	5050000	https://yt3.ggpht.com/a/AATXAJzChqIqOf_0cdyFEnRnIFAFisRrSlkyPbkU25_9MA=s800-c-k-c0x00ffffff-no-rj
UCLue5AhDOIpePYzlc3rOVVQ	Jazz and Blues Experience	['Music', 'Jazz']	FR	NA	3890	541848598	1420000	https://yt3.ggpht.com/a/AATXAJzDauGKemuUzYSFdkLSjl2zLk-kj4nccLaicvO9=s800-c-k-c0x00ffffff-no-rj
UCwDeWP_zZhqYMSj7W2z5mVg	Freshly Squeezed	['Electronic music', 'Jazz', 'Music']	GB	NA	167	51002155	97700	https://yt3.ggpht.com/ytc/AAUvwngazY2qkEZOF5nnpPe6ybo4dwphVk15cU0TNBmKOg=s800-c-k-c0x00ffffff-no-rj
UC2DyPD59ZXz2Jt-gy9twYiA	Lot2learn	['Music', 'Jazz']	US	NA	151	11149168	44200	https://yt3.ggpht.com/a/AATXAJzG_nEaXtgx4PirzessrxfJk3Z4UUge4HL1yKCa=s800-c-k-c0x00ffffff-no-rj
UCirPLQsYtHWBmalEbX1LcAA	Nat King Cole - Topic	['Music', 'Jazz', 'Christian music']	NA	NA	74798	39877097	12600	https://yt3.ggpht.com/a/AATXAJxjRVDgIQ2xIUbjQv_4xPh1wtwe14SDftyeEkNs=s800-c-k-c0x00ffffff-no-rj
UCam8VtqRmUKCD-HWZgHtMEg	Robyn Adele Anderson	['Jazz', 'Music', 'Rock music']	US	NA	127	76315806	643000	https://yt3.ggpht.com/a/AATXAJyXkvc-4oTkwyw-wXIYo2IZO_SG3rOlWXAPKvay5Q=s800-c-k-c0x00ffffff-no-rj
UCiReSwhx7y_LpNFNg4GCuCQ	TrueFire	['Music', 'Rock music', 'Jazz']	US	NA	8225	131457148	440000	https://yt3.ggpht.com/a/AATXAJzqfasyoGAHLB8nctqOd5qgqk_hMBpk3jKB1HOiMA=s800-c-k-c0x00ffffff-no-rj
UCUmqK1oeMpSfRQ6oUpiYKHA	caroemerald	['Music', 'Pop music', 'Jazz']	NL	NA	102	154162787	256000	https://yt3.ggpht.com/a/AATXAJzf8ms8NKDLTCB-zhAnOfDot4ZSWDQZt8nh5Yigxg=s800-c-k-c0x00ffffff-no-rj-mo
